iter	Passed	Remaining
0	4	1419
1	8	1241
2	12	1210
3	16	1222
4	20	1229
5	25	1249
6	29	1238
7	34	1244
8	37	1219
9	41	1203
10	45	1191
11	49	1182
12	53	1176
13	57	1184
14	62	1184
15	66	1177
16	70	1169
17	75	1176
18	79	1177
19	83	1171
20	88	1173
21	92	1165
22	96	1158
23	100	1153
24	105	1155
25	109	1157
26	114	1156
27	118	1151
28	122	1142
29	125	1133
30	130	1129
31	134	1126
32	138	1118
33	141	1110
34	146	1108
35	150	1102
36	154	1095
37	157	1088
38	162	1084
39	167	1091
40	172	1090
41	176	1084
42	180	1081
43	185	1077
44	190	1078
45	194	1076
46	199	1073
47	203	1067
48	208	1068
49	213	1069
50	218	1066
51	222	1062
52	227	1060
53	232	1060
54	237	1058
55	243	1060
56	252	1077
57	261	1089
58	268	1095
59	276	1105
60	282	1107
61	289	1111
62	296	1114
63	302	1114
64	309	1120
65	314	1115
66	319	1110
67	323	1105
68	329	1101
69	333	1096
70	340	1099
71	347	1101
72	354	1102
73	359	1096
74	364	1092
75	368	1085
76	373	1080
77	377	1074
78	381	1067
79	386	1062
80	390	1056
81	395	1052
82	399	1044
83	404	1040
84	408	1033
85	412	1026
86	416	1019
87	421	1014
88	425	1007
89	429	1001
90	433	995
91	438	990
92	442	985
93	446	978
94	452	975
95	456	969
96	460	964
97	464	958
98	469	953
99	472	944
100	476	939
101	481	935
102	486	929
103	490	924
104	494	918
105	499	914
106	504	909
107	508	903
108	512	898
109	516	892
110	520	886
111	525	882
112	529	876
113	534	872
114	538	865
115	541	859
116	547	856
117	551	850
118	556	845
119	560	840
120	564	834
121	569	830
122	573	824
123	577	819
124	581	814
125	586	809
126	590	804
127	595	799
128	600	795
129	604	790
130	608	784
131	612	779
132	617	775
133	621	770
134	626	765
135	631	761
136	635	756
137	639	750
138	644	747
139	649	742
140	653	736
141	657	731
142	661	726
143	666	722
144	670	716
145	676	713
146	681	708
147	685	703
148	689	698
149	694	694
150	699	690
151	703	684
152	708	681
153	713	676
154	717	670
155	721	666
156	726	662
157	731	657
158	736	653
159	741	649
160	746	644
161	750	639
162	754	634
163	759	629
164	763	624
165	767	619
166	772	615
167	777	610
168	781	605
169	785	600
170	789	595
171	793	590
172	797	585
173	801	580
174	806	575
175	810	570
176	814	565
177	818	561
178	822	556
179	826	551
180	830	546
181	835	541
182	839	536
183	843	531
184	847	526
185	852	522
186	856	517
187	861	512
188	865	508
189	869	503
190	873	498
191	877	493
192	881	488
193	885	483
194	889	478
195	893	473
196	896	468
197	901	464
198	905	459
199	908	454
200	912	449
201	917	445
202	921	440
203	925	435
204	929	430
205	933	425
206	937	421
207	941	416
208	947	412
209	951	407
210	954	402
211	958	397
212	961	392
213	965	388
214	969	383
215	973	378
216	978	374
217	982	369
218	986	364
219	990	360
220	994	355
221	999	351
222	1003	346
223	1007	341
224	1012	337
225	1016	332
226	1020	328
227	1024	323
228	1028	318
229	1032	314
230	1036	309
231	1040	305
232	1044	300
233	1048	295
234	1052	291
235	1056	286
236	1060	281
237	1064	277
238	1068	272
239	1072	268
240	1076	263
241	1080	258
242	1084	254
243	1088	249
244	1092	245
245	1096	240
246	1099	236
247	1104	231
248	1109	227
249	1113	222
250	1118	218
251	1123	214
252	1129	209
253	1134	205
254	1139	201
255	1145	196
256	1150	192
257	1155	188
258	1160	183
259	1164	179
260	1168	174
261	1173	170
262	1178	165
263	1182	161
264	1187	156
265	1192	152
266	1196	147
267	1201	143
268	1206	139
269	1210	134
270	1215	130
271	1220	125
272	1224	121
273	1229	116
274	1234	112
275	1238	107
276	1243	103
277	1248	98
278	1253	94
279	1257	89
280	1262	85
281	1268	80
282	1272	76
283	1279	72
284	1283	67
285	1288	63
286	1292	58
287	1296	54
288	1300	49
289	1304	44
290	1309	40
291	1314	36
292	1318	31
293	1322	26
294	1326	22
295	1331	17
296	1335	13
297	1339	8
298	1344	4
299	1348	0
